ds,yhat,yhat_lower,yhat_upper
2020-01-22,-20676.842922946686,-120012.30745716562,85214.03872466249
2020-01-23,-8050.9477990915575,-114493.76306699056,106458.55794994134
2020-01-24,5827.454571352177,-100725.38761703458,111300.2030290817
2020-01-25,12176.679498410582,-100592.4518679317,111860.9694363521
2020-01-26,8405.019968511597,-96498.94253791957,106432.32860708989
2020-01-27,1683.3455451057253,-102209.22319222034,101927.17761364092
2020-01-28,-10380.26653355797,-119978.282412113,85662.08847919837
2020-01-29,-1917.7088817251151,-107163.90815172241,98977.32247149381
2020-01-30,10708.18349822012,-91786.96646820108,120373.55564722538
2020-01-31,24586.583124725563,-79873.00652577772,127886.93344071222
2020-02-01,30935.805307886483,-77310.02441690797,133202.684036229
2020-02-02,27164.143034085446,-81506.63863149962,129835.33027157048
2020-02-03,20442.465866814913,-83248.93876234686,126828.71145071703
2020-02-04,8378.851944274673,-105568.87375359074,112330.18462360054
2020-02-05,16841.410496215758,-89753.48020812121,119974.9433134791
2020-02-06,29467.30377619806,-72374.19841569426,134356.6763536352
2020-02-07,43345.704302849095,-58847.72616409116,143973.20078529514
2020-02-08,49694.927386100084,-47517.72713847897,159719.42526005596
2020-02-09,45923.2660123558,-59112.61202541492,154448.9661895969
2020-02-10,39201.58915573231,-69804.29629580793,148689.55852528542
2020-02-11,27137.974643768746,-71323.63758296892,129389.78305534086
2020-02-12,35600.532606252666,-67687.53450824365,142076.782655968
2020-02-13,48226.425296771355,-50207.85434772837,154274.60858505996
2020-02-14,62104.82523397224,-45030.808586854524,170905.9474754243
2020-02-15,68454.04772776,-41701.672203426555,175782.05002441964
2020-02-16,64682.38535708295,-35234.158257548326,164840.7810871437
2020-02-17,57960.708092957364,-49788.97783505356,160412.27360592637
2020-02-18,45897.093173506095,-60997.6123671532,146998.87265475313
2020-02-19,54359.65072850137,-43296.03522891132,156060.64477441242
2020-02-20,66985.54301156572,-40422.88165581328,175335.41849681264
2020-02-21,80863.9425412412,-26092.305606610487,185667.6059543613
2020-02-22,87213.16359928022,-20379.345596834093,192899.25484384215
2020-02-23,83441.50020034102,-21092.45667354416,188231.8245084965
2020-02-24,76719.8219079422,-32675.175476067405,181949.82310805845
2020-02-25,64656.20596024223,-34105.107082992385,176804.00319169147
2020-02-26,73118.76248699495,-35777.30468296326,179757.26745913975
2020-02-27,85744.65374173582,-18266.61638067193,189368.8873377822
